26,24,80,37,90,61,37,66,45,88,69,97,87,49,82,
36,59,14,66,58,16,21,95,36,77,32,57,83,65,84,
95,61,60,46,16,78,88,35,59,15,64,29,49,84,69,
34,35,41,93,58,89,52,29,45,80,10,78,65,36,67,
91,92,42,51,20,67,20,92,73,14,27,24,21,91,88,
25,15,91,30,93,37,72,72,96,17,60,62,22,88,37,
44,32,80,24,55,59,17,31,94,95,60,50,85,27,17,
78,94,55,74,15,54,93,13,64,95,19,31,87,86,44,
65,74,60,48,92,48,98,83,65,76,24,27,56,68,26,
38,19,86,73,47,17,43,15,53,76,70,64,77,56,13,

17,26,18,38,26,62,57,92,27,78,49,98,85,31,82,
76,96,97,46,89,48,53,91,39,84,17,61,79,22,98,
61,41,45,55,11,27,29,54,28,68,35,32,67,29,53,
35,11,26,75,90,94,22,89,71,92,27,14,62,35,50,
22,40,57,83,58,96,51,56,86,50,27,93,94,28,43,
61,90,67,71,22,45,59,96,44,80,81,18,22,90,73,
94,71,72,69,26,82,46,96,27,99,68,25,91,12,31,
75,26,95,34,86,93,90,41,39,34,98,63,70,71,79,
57,28,31,70,77,33,99,12,87,17,26,51,96,48,55,
76,82,88,43,89,62,32,89,34,83,38,25,40,72,30,

99,39,38,80,67,38,27,78,51,32,87,97,23,55,20,
53,70,30,14,58,81,99,37,29,57,61,93,67,48,40,
46,80,82,56,78,65,17,55,46,84,27,34,15,73,69,
70,62,70,71,13,65,54,96,54,97,65,32,45,47,94,
54,23,35,40,63,98,18,69,84,44,93,96,43,90,78,
52,72,42,20,75,37,80,64,89,46,64,60,95,71,41,
68,16,35,28,11,75,74,63,72,32,30,33,45,45,80,
71,37,88,80,45,95,64,37,23,31,16,88,43,53,82,
50,22,71,54,64,19,59,86,94,44,34,45,56,39,47,
14,34,43,14,47,27,25,88,14,79,93,10,82,11,52,

95,50,60,35,87,99,54,14,87,28,56,56,62,20,46,
16,23,92,49,19,75,71,31,78,22,67,38,95,69,25,
70,56,11,11,27,64,80,68,78,48,42,12,69,43,89,
49,52,50,99,23,30,64,65,59,28,20,70,43,43,60,
91,54,61,62,72,34,36,63,14,21,92,74,12,27,15,
23,54,43,26,27,35,71,91,24,50,85,45,45,28,27,
53,23,55,63,65,27,39,27,23,46,33,85,32,99,93,
15,56,20,69,27,99,51,18,90,73,60,15,81,46,70,
83,89,59,58,13,74,32,24,95,66,34,83,77,17,21,
86,21,79,43,57,50,16,24,78,46,75,72,66,39,84,

17,53,52,80,12,57,60,29,89,79,47,56,60,68,49,
72,17,50,83,83,62,32,30,18,51,99,61,86,45,70,
17,24,47,67,63,18,17,64,86,52,53,77,12,75,41,
53,16,54,58,51,10,70,55,13,77,79,96,99,49,20,
42,73,41,34,50,80,89,89,68,17,76,60,99,87,75,
96,14,89,27,51,34,27,48,28,50,31,85,29,57,23,
40,57,20,68,74,55,19,50,97,45,51,41,75,31,83,
79,32,74,76,86,79,11,75,21,43,18,43,51,52,16,
80,80,36,73,82,33,42,92,27,21,58,76,53,97,34,
89,74,43,74,66,54,69,62,22,48,93,85,52,17,88,

16,75,76,24,30,64,50,41,72,47,37,48,14,28,51,
42,86,58,68,14,32,24,45,37,40,82,34,72,83,94,
32,98,69,58,73,25,39,87,12,36,87,75,52,18,57,
17,30,59,42,26,99,62,20,61,84,15,82,62,66,73,
72,98,78,10,38,87,35,53,41,34,84,33,44,81,33,
47,80,10,23,71,59,23,15,70,42,22,48,50,45,87,
55,50,52,98,79,53,16,74,30,96,14,28,49,10,37,
48,48,97,34,97,36,85,86,62,32,89,24,40,35,57,
43,46,58,25,87,69,61,15,32,69,95,74,24,43,83,
62,63,82,31,68,26,94,17,71,91,16,90,98,50,43,

